date,total_wallets_per_cohort_t,weighted_retention_rate,cohort,total_wallets_per_cohort,month_1_retention,month_2_retention,month_3_retention,month_4_retention,month_5_retention,month_6_retention,month_7_retention,month_8_retention,month_9_retention,month_10_retention,month_11_retention,month_12_retention
October 28 2024,3022,0.6579230938926505,2024-10-28 00:00:00.000 UTC,3022,0.9185969556585043,0.8798808735936466,0.8626737260092654,0.8093977498345467,0.78656518861681,0.7677035076108537,0.699205823957644,0.6019192587690272,0.5817339510258107,0.5774321641297154,0.5731303772336201,0.6042356055592323
October 21 2024,3267,0.6250147159238068,2024-10-21 00:00:00.000 UTC,3267,0.9381695745332109,0.8809305172941536,0.8451178451178452,0.8377716559534741,0.7744107744107744,0.7361493725130088,0.699418426691154,0.640342822161004,0.5258647076828895,0.5191307009488828,0.5188246097337006,0.5188246097337006
October 14 2024,2223,0.455828921415966,2024-10-14 00:00:00.000 UTC,2223,0.7390913180386864,0.6491228070175439,0.6041385515069726,0.5681511470985156,0.5384615384615384,0.50472334682861,0.48942869995501576,0.46468735942420153,0.41655420602789023,0.394961763382816,0.3882141250562303,0.3832658569500675
October 07 2024,3053,0.4941419536899393,2024-10-07 00:00:00.000 UTC,3053,0.876842450049132,0.7743203406485424,0.6898132983950213,0.6495250573206682,0.6003930560104815,0.5876187356698329,0.5214543072387815,0.4965607599082869,0.45856534556174255,0.4277759580740256,0.38912545037667867,0.38453979692106127
September 30 2024,2954,0.4432972241029113,2024-09-30 00:00:00.000 UTC,2954,0.7081922816519973,0.6509817197020988,0.5920785375761679,0.556194989844279,0.5389302640487474,0.4955991875423155,0.4942450914014895,0.456668923493568,0.41367637102234256,0.3906567366283006,0.3676371022342586,0.3425863236289777
September 23 2024,2014,0.5283082524889873,2024-09-23 00:00:00.000 UTC,2014,0.9051638530287984,0.7149950347567031,0.7075471698113207,0.6385302879841113,0.5883813306852036,0.5734856007944389,0.5427010923535254,0.5253227408142999,0.5024826216484608,0.4781529294935452,0.4672293942403178,0.4473684210526316
September 16 2024,2873,0.5452042446473354,2024-09-16 00:00:00.000 UTC,2873,0.8478941872607031,0.818308388444135,0.7535676992690568,0.6703793943612948,0.6247824573616428,0.5955447267664462,0.5635224504002785,0.5294117647058824,0.5273233553776541,0.4904281239122868,0.46745562130177515,0.45248868778280543
September 09 2024,3561,0.5095622808343954,2024-09-09 00:00:00.000 UTC,3561,0.9008705419825892,0.7854535242909295,0.7495085650098287,0.6571187868576243,0.6037629879247403,0.5574276888514462,0.5178320696433586,0.4931199101376018,0.46082561078348777,0.4554900308901994,0.42881213142375735,0.42038753159224934
September 02 2024,2760,0.6244611668524711,2024-09-02 00:00:00.000 UTC,2760,0.8923913043478261,0.8481884057971014,0.7681159420289855,0.7402173913043478,0.7115942028985507,0.6818840579710145,0.6663043478260869,0.6170289855072464,0.592391304347826,0.5782608695652174,0.5576086956521739,0.5297101449275362
August 26 2024,2490,0.6249201935948925,2024-08-26 00:00:00.000 UTC,2490,0.8979919678714859,0.814859437751004,0.7759036144578313,0.7176706827309237,0.691566265060241,0.672289156626506,0.6634538152610442,0.6445783132530121,0.6092369477911647,0.5811244979919679,0.5859437751004016,0.4987951807228916
August 19 2024,4595,0.5333054323261069,2024-08-19 00:00:00.000 UTC,4595,0.6748639825897715,0.6274211099020675,0.5963003264417845,0.585854189336235,0.6108813928182807,0.5477693144722524,0.5262241566920566,0.5586507072905332,0.5190424374319913,0.4872687704026115,0.499455930359086,0.5003264417845484
August 12 2024,4434,0.6204763887443183,2024-08-12 00:00:00.000 UTC,4434,0.8921966621560667,0.7487595850248083,0.7099684258006315,0.6860622462787551,0.6799729364005412,0.6540369869192603,0.6283265674334686,0.6188543076229138,0.6224627875507442,0.5942715381145692,0.5678845286423094,0.5557059088858818
August 05 2024,3518,0.6204647162577803,2024-08-05 00:00:00.000 UTC,3518,0.8928368391131325,0.7885162023877202,0.7333712336554861,0.709494030699261,0.6841955656623081,0.6759522455940875,0.6480955088118249,0.6256395679363275,0.610574189880614,0.6060261512222854,0.5486071631608869,0.5233086981239341
July 29 2024,5638,0.6129060132252754,2024-07-29 00:00:00.000 UTC,5638,0.8676835757360766,0.8205037247250798,0.7059240865555162,0.6598084427101809,0.6417169208939341,0.6335579992905286,0.6261085491308975,0.6099680737850302,0.5920539198297269,0.584959205391983,0.5782192266761262,0.5608371763036538
July 22 2024,10300,0.5819330346029375,2024-07-22 00:00:00.000 UTC,10300,0.8890291262135922,0.8060194174757281,0.7479611650485437,0.6472815533980583,0.6015533980582525,0.588252427184466,0.5797087378640776,0.58,0.5647572815533981,0.5474757281553398,0.5353398058252428,0.5312621359223301
July 15 2024,10385,0.7518079577299607,2024-07-15 00:00:00.000 UTC,10385,0.9047664901299952,0.8579682233991334,0.8186807896003852,0.8086663456909003,0.7965334617236398,0.7752527684159846,0.7630235917188253,0.7532017332691382,0.7374097255657198,0.7331728454501685,0.7170919595570534,0.7060182956186808
July 08 2024,13835,0.8079712360883304,2024-07-08 00:00:00.000 UTC,13835,0.966389591615468,0.9335742681604626,0.906035417419588,0.8699674737983375,0.8534152511745573,0.8347668955547525,0.8171304662088905,0.8046982291290206,0.7935670401156487,0.786628117094326,0.7726779906035417,0.7541019154318757
